,year,party,window_id,terms,dynamic_id,topic_label,sub_topic,major_topic
17,1981,Rep,17,"['policy', 'economic', 'national', 'tourism', 'airport', 'federal', 'office', 'national_tourism', 'economic_growth', 'implement', 'governmentwide', 'goal', 'economy', 'procurement', 'establish', 'growth', 'slot', 'new', 'past', 'space']",80,?_?,,
25,1981,Rep,25,"['problem', 'drug', 'select_committee', 'concern', 'solution', 'find', 'solve', 'face', 'create', 'major', 'many', 'study', 'concerned', 'drug_abuse', 'cause', 'effort', 'real', 'realize', 'acid_rain', 'develop']",31,?_?,,
28,1981,Rep,28,"['nation', 'united', 'cyprus', 'great', 'citizen', 'international', 'organization', 'turkish', 'disabled_person', 'economy', 'government', 'community', 'economic', 'history', 'national', 'society', 'energy', 'future', 'security', 'contribution']",64,?_?,,
32,1981,Rep,32,"['cost', 'estimate', 'taxpayer', 'reduce', 'ballot', 'total', 'government', 'impose', 'federal_government', 'require', 'state_local', 'production', 'federal', 'high', 'local_government', 'example', 'inflation', 'result', 'more', 'congressional_budget']",40,?_costs,,
39,1981,Rep,39,"['figure', 'motion_recommit', 'outyear', 'number', 'use', 'give', 'ceiling', 'lot', 'low', 'accept', 'high', 'veto', 'surprised', 'awful_lot', 'board', 'show', 'explanation', 'assume', 'amount', 'happen']",77,?_?,,
48,1981,Rep,48,"['outlay', 'budget_authority', 'housing', 'rescission', 'number', 'hud', 'estimate', 'deferral', 'september', 'deficit', 'march', 'distinguished_chairman', 'authority', 'concerned', 'item', 'conference_agreement', 'exist', 'total', 'future', 'exceed']",43,housing_?,,
57,1981,Rep,57,"['service', 'old_american', 'community', 'elderly', 'health', 'senior_citizen', 'title', 'social', 'employment', 'home', 'volunteer', 'senior', 'age', 'aging', 'hospital', 'old', 'care', 'serve', 'flexibility', 'nutrition']",30,?_?,elderly care,social welfare
58,1981,Rep,58,"['block_grant', 'legal_service', 'social', 'level', 'poor', 'bureaucracy', 'approach', 'local', 'motion_recommit', 'administer', 'include', 'assure', 'service', 'opportunity', 'limitation', 'veto', 'governor', 'place', 'possibility', 'seem']",30,?_?,,
66,1981,Rep,66,"['right', 'constitution', 'minority', 'voting_right', 'body', 'privacy', 'feel', 'abortion', 'citizen', 'legal', 'give', 'deny', 'human_right', 'protect', 'black', 'supreme_court', 'free', 'civil_right', 'same', 'wrong']",77,?_?,general,civil rights
72,1981,Rep,72,"['hope', 'way', 'subject', 'wish', 'schedule', 'finish', 'future', 'side_aisle', 'objection', 'agreement', 'american_people', 'feel', 'more', 'many', 'opportunity', 'give', 'lot', 'indicate', 'oclock', 'sure']",65,?_?,,
